00.000,01.000,01.990,02.970,03.940,04.901,05.852,06.793,07.726,08.648,09.562,10.466,11.362,12.248,13.125,13.994,14.854,15.706,16.549,17.383,18.209,19.027,19.837,20.639,21.432,22.218,22.996,23.766,24.528,25.283,26.030,26.770,27.502,28.227,28.945,29.655,30.359,31.055,31.745,32.427,33.103,33.772,34.434,35.090,35.739,36.381,37.018,37.647,38.271,38.888,39.499,40.104,40.703,41.296,41.883,42.465,43.040,43.609,44.173,44.732,45.284,45.831,46.373,46.909,47.440,47.966,48.486,49.001,49.511,50.016,50.516,51.011,51.501,51.986,52.466,52.941,53.412,53.878,54.339,54.796,55.248,55.695,56.138,56.577,57.011,57.441,57.867,58.288,58.705,59.118,59.527,59.932
00.000,-00.04,00.649,01.497,02.409,03.333,04.265,05.197,06.125,07.045,07.957,08.860,09.755,10.642,11.519,12.388,13.248,14.099,14.942,15.777,16.603,17.421,18.230,19.032,19.826,20.611,21.389,22.159,22.921,23.676,24.423,25.163,25.895,26.620,27.338,28.049,28.752,29.448,30.138,30.820,31.496,32.165,32.827,33.483,34.132,34.775,35.411,36.041,36.664,37.282,37.893,38.498,39.097,39.690,40.277,40.858,41.433,42.003,42.567,43.125,43.678,44.225,44.767,45.303,45.834,46.359,46.880,47.395,47.905,48.410,48.909,49.404,49.894,50.379,50.859,51.335,51.805,52.271,52.732,53.189,53.641,54.089,54.532,54.970,55.404,55.834,56.260,56.681,57.098,57.511,57.920,58.325
00.000,-00.04,-00.08,00.449,01.169,02.008,02.886,03.788,04.699,05.611,06.518,07.419,08.313,09.198,10.075,10.943,11.803,12.654,13.497,14.332,15.158,15.976,16.785,17.587,18.381,19.166,19.944,20.714,21.477,22.231,22.978,23.718,24.450,25.175,25.893,26.604,27.307,28.004,28.693,29.376,30.051,30.720,31.383,32.038,32.687,33.330,33.966,34.596,35.219,35.837,36.448,37.053,37.652,38.245,38.832,39.413,39.988,40.558,41.122,41.680,42.233,42.780,43.322,43.858,44.389,44.914,45.435,45.950,46.460,46.965,47.465,47.959,48.449,48.934,49.414,49.890,50.360,50.826,51.288,51.744,52.196,52.644,53.087,53.525,53.960,54.389,54.815,55.236,55.654,56.066,56.475,56.880
00.000,-00.04,-00.08,-00.11,00.291,00.898,01.659,02.487,03.359,04.248,05.143,06.037,06.926,07.809,08.684,09.550,10.409,11.260,12.103,12.937,13.763,14.581,15.391,16.192,16.986,17.772,18.550,19.320,20.082,20.837,21.584,22.324,23.056,23.781,24.499,25.209,25.913,26.609,27.298,27.981,28.657,29.326,29.988,30.644,31.293,31.935,32.571,33.201,33.825,34.442,35.053,35.658,36.257,36.850,37.437,38.018,38.594,39.163,39.727,40.285,40.838,41.385,41.927,42.463,42.994,43.520,44.040,44.555,45.065,45.570,46.070,46.565,47.055,47.540,48.020,48.495,48.966,49.432,49.893,50.349,50.802,51.249,51.692,52.131,52.565,52.995,53.420,53.842,54.259,54.672,55.081,55.485
00.000,-00.04,-00.08,-00.11,-00.15,00.159,00.703,01.413,02.209,03.058,03.930,04.811,05.694,06.573,07.446,08.312,09.170,10.020,10.862,11.696,12.522,13.340,14.150,14.951,15.745,16.530,17.308,18.078,18.841,19.595,20.342,21.082,21.814,22.539,23.257,23.968,24.671,25.368,26.057,26.740,27.415,28.084,28.747,29.402,30.051,30.694,31.330,31.960,32.584,33.201,33.812,34.417,35.016,35.609,36.196,36.777,37.352,37.922,38.486,39.044,39.597,40.144,40.686,41.222,41.753,42.278,42.799,43.314,43.824,44.329,44.829,45.323,45.813,46.298,46.779,47.254,47.724,48.190,48.652,49.108,49.560,50.008,50.451,50.889,51.324,51.754,52.179,52.600,53.018,53.431,53.839,54.244
00.000,-00.04,-00.08,-00.11,-00.15,-00.19,00.047,00.498,01.124,01.855,02.656,03.495,04.352,05.217,06.082,06.944,07.799,08.648,09.489,10.322,11.148,11.965,12.775,13.576,14.370,15.155,15.933,16.703,17.466,18.220,18.967,19.707,20.439,21.164,21.882,22.593,23.296,23.993,24.682,25.365,26.040,26.709,27.372,28.027,28.676,29.319,29.955,30.585,31.208,31.826,32.437,33.042,33.641,34.234,34.821,35.402,35.977,36.547,37.111,37.669,38.222,38.769,39.311,39.847,40.378,40.903,41.424,41.939,42.449,42.954,43.454,43.948,44.438,44.923,45.403,45.879,46.349,46.815,47.276,47.733,48.185,48.633,49.076,49.514,49.949,50.378,50.804,51.225,51.643,52.055,52.464,52.869
00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000,00.000
00.000,-01.00,-01.04,-00.52,00.137,00.946,01.821,02.723,03.634,04.545,05.453,06.354,07.247,08.133,09.009,09.878,10.738,11.589,12.432,13.266,14.092,14.910,15.720,16.522,17.315,18.101,18.879,19.649,20.411,21.166,21.913,22.653,23.385,24.110,24.828,25.538,26.242,26.938,27.628,28.310,28.986,29.655,30.317,30.973,31.622,32.264,32.901,33.530,34.154,34.771,35.382,35.987,36.586,37.179,37.766,38.348,38.923,39.492,40.056,40.615,41.167,41.715,42.256,42.792,43.323,43.849,44.369,44.884,45.394,45.899,46.399,46.894,47.384,47.869,48.349,48.824,49.295,49.761,50.222,50.679,51.131,51.578,52.021,52.460,52.894,53.324,53.750,54.171,54.588,55.001,55.410,55.815
00.000,-00.04,-00.17,-00.21,00.251,00.883,01.664,02.503,03.382,04.275,05.172,06.067,06.957,07.840,08.716,09.583,10.442,11.293,12.135,12.970,13.796,14.614,15.423,16.225,17.019,17.804,18.582,19.352,20.114,20.869,21.616,22.356,23.088,23.813,24.531,25.242,25.945,26.642,27.331,28.014,28.689,29.358,30.021,30.676,31.325,31.968,32.604,33.234,33.857,34.475,35.086,35.691,36.290,36.883,37.470,38.051,38.626,39.196,39.760,40.318,40.871,41.418,41.960,42.496,43.027,43.552,44.073,44.588,45.098,45.603,46.103,46.597,47.087,47.572,48.052,48.528,48.998,49.464,49.925,50.382,50.834,51.282,51.725,52.163,52.598,53.027,53.453,53.874,54.291,54.704,55.113,55.518
00.000,-00.04,-00.08,-00.12,-00.16,00.199,00.778,01.537,02.358,03.220,04.095,04.974,05.851,06.724,07.590,08.452,09.309,10.160,11.002,11.836,12.662,13.480,14.289,15.091,15.885,16.670,17.448,18.218,18.981,19.735,20.482,21.222,21.954,22.679,23.397,24.108,24.811,25.508,26.197,26.880,27.555,28.224,28.887,29.542,30.191,30.834,31.470,32.100,32.723,33.341,33.952,34.557,35.156,35.749,36.336,36.917,37.492,38.062,38.626,39.184,39.737,40.284,40.826,41.362,41.893,42.418,42.939,43.454,43.964,44.469,44.969,45.463,45.953,46.438,46.918,47.394,47.864,48.330,48.792,49.248,49.700,50.148,50.591,51.029,51.464,51.893,52.319,52.740,53.158,53.570,53.979,54.384
