Tournament 1
GrimTriggerPlayer: 748.41516 points.
CombinedPlayer: 741.8219 points.
TitForTatPlayer2: 739.9628 points.
T4TPlayer: 729.40155 points.
ImprovedPlayer: 719.42737 points.
SoftGrudgerPlayer: 690.31464 points.
NicePlayer: 663.1985 points.
FreakyPlayer: 639.372 points.
HardMajorityPlayer: 570.94904 points.
NastyPlayer: 557.54004 points.
RandomPlayer: 533.32294 points.
ReverseT4TPlayer: 491.30438 points.

Tournament 12
GrimTriggerPlayer: 756.2952 points.
FirmButFairPlayer: 755.9257 points.
SinghAishwaryaPlayer: 752.3572 points.
CombinedPlayer: 747.3447 points.
TolerantPlayer: 746.5311 points.
GradualPlayer: 744.60443 points.
ImprovedPlayer: 737.3984 points.
T4TPlayer: 732.82806 points.
TitForTatPlayer2: 724.8556 points.
NicePlayer: 690.5305 points.
SoftGrudgerPlayer: 676.9945 points.
FreakyPlayer: 613.07666 points.
HardMajorityPlayer: 574.37054 points.
NastyPlayer: 554.41895 points.
RandomPlayer: 541.13336 points.
ReverseT4TPlayer: 503.48428 points.

Tournament 13
SinghAishwaryaPlayer: 765.4489 points.
GradualPlayer: 757.16144 points.
GrimTriggerPlayer: 756.5482 points.
FirmButFairPlayer: 752.7052 points.
TolerantPlayer: 749.10785 points.
ImprovedPlayer: 748.9058 points.
CombinedPlayer: 745.5995 points.
T4TPlayer: 740.2059 points.
TitForTatPlayer2: 735.77625 points.
SoftGrudgerPlayer: 666.60114 points.
NicePlayer: 657.2899 points.
FreakyPlayer: 640.59204 points.
HardMajorityPlayer: 574.8805 points.
NastyPlayer: 558.25653 points.
RandomPlayer: 540.65106 points.
ReverseT4TPlayer: 495.62778 points.

Tournament 14
SinghAishwaryaPlayer: 753.55505 points.
GrimTriggerPlayer: 753.19476 points.
TolerantPlayer: 752.70294 points.
FirmButFairPlayer: 749.23834 points.
CombinedPlayer: 742.3596 points.
TitForTatPlayer2: 741.67786 points.
GradualPlayer: 741.4591 points.
ImprovedPlayer: 738.3116 points.
T4TPlayer: 727.76483 points.
NicePlayer: 665.7473 points.
SoftGrudgerPlayer: 664.58636 points.
FreakyPlayer: 641.49634 points.
HardMajorityPlayer: 570.29504 points.
RandomPlayer: 564.30066 points.
NastyPlayer: 553.046 points.
ReverseT4TPlayer: 500.15747 points.

Tournament 15
GradualPlayer: 749.87317 points.
FirmButFairPlayer: 747.4121 points.
SinghAishwaryaPlayer: 746.4423 points.
TolerantPlayer: 743.2132 points.
CombinedPlayer: 742.799 points.
GrimTriggerPlayer: 742.43475 points.
ImprovedPlayer: 738.3059 points.
TitForTatPlayer2: 732.0555 points.
T4TPlayer: 724.3971 points.
SoftGrudgerPlayer: 667.4085 points.
NicePlayer: 663.2021 points.
FreakyPlayer: 604.64386 points.
NastyPlayer: 585.44495 points.
HardMajorityPlayer: 559.6113 points.
RandomPlayer: 559.11664 points.
ReverseT4TPlayer: 521.38947 points.

Tournament 16
GradualPlayer: 754.22845 points.
GrimTriggerPlayer: 753.21234 points.
TolerantPlayer: 748.5419 points.
FirmButFairPlayer: 743.82574 points.
SinghAishwaryaPlayer: 742.3594 points.
CombinedPlayer: 739.6346 points.
T4TPlayer: 732.995 points.
TitForTatPlayer2: 724.13165 points.
ImprovedPlayer: 718.9789 points.
NicePlayer: 674.37354 points.
SoftGrudgerPlayer: 654.9368 points.
FreakyPlayer: 611.13403 points.
HardMajorityPlayer: 567.53564 points.
NastyPlayer: 562.45984 points.
RandomPlayer: 533.5539 points.
ReverseT4TPlayer: 490.2952 points.

Tournament 17
GrimTriggerPlayer: 749.2605 points.
TolerantPlayer: 747.3524 points.
FirmButFairPlayer: 741.12616 points.
T4TPlayer: 740.70905 points.
GradualPlayer: 740.6038 points.
CombinedPlayer: 740.1144 points.
SinghAishwaryaPlayer: 732.755 points.
TitForTatPlayer2: 729.9943 points.
ImprovedPlayer: 709.1771 points.
NicePlayer: 673.2294 points.
SoftGrudgerPlayer: 664.44336 points.
FreakyPlayer: 591.6645 points.
NastyPlayer: 572.998 points.
HardMajorityPlayer: 559.48645 points.
RandomPlayer: 525.8097 points.
ReverseT4TPlayer: 509.74747 points.

Tournament 18
SinghAishwaryaPlayer: 763.60254 points.
GrimTriggerPlayer: 757.0568 points.
GradualPlayer: 756.88434 points.
TolerantPlayer: 752.63934 points.
FirmButFairPlayer: 749.8931 points.
CombinedPlayer: 742.4842 points.
T4TPlayer: 730.3543 points.
TitForTatPlayer2: 727.2642 points.
ImprovedPlayer: 726.9332 points.
SoftGrudgerPlayer: 673.6523 points.
NicePlayer: 667.6234 points.
FreakyPlayer: 626.2903 points.
HardMajorityPlayer: 571.32294 points.
RandomPlayer: 558.987 points.
NastyPlayer: 557.0284 points.
ReverseT4TPlayer: 504.83334 points.

Tournament 19
TolerantPlayer: 758.6648 points.
GradualPlayer: 756.0708 points.
FirmButFairPlayer: 751.3568 points.
SinghAishwaryaPlayer: 744.16956 points.
GrimTriggerPlayer: 738.4313 points.
CombinedPlayer: 737.89056 points.
T4TPlayer: 730.94965 points.
TitForTatPlayer2: 724.6049 points.
ImprovedPlayer: 719.15656 points.
NicePlayer: 674.601 points.
SoftGrudgerPlayer: 671.1406 points.
FreakyPlayer: 614.06177 points.
HardMajorityPlayer: 571.8602 points.
NastyPlayer: 571.7493 points.
RandomPlayer: 549.9878 points.
ReverseT4TPlayer: 501.9142 points.

Tournament 20
GrimTriggerPlayer: 752.70306 points.
FirmButFairPlayer: 751.1246 points.
GradualPlayer: 748.9132 points.
CombinedPlayer: 748.8409 points.
SinghAishwaryaPlayer: 747.27 points.
T4TPlayer: 736.4303 points.
TitForTatPlayer2: 735.94 points.
TolerantPlayer: 732.3423 points.
ImprovedPlayer: 729.293 points.
NicePlayer: 683.78986 points.
SoftGrudgerPlayer: 672.9277 points.
HardMajorityPlayer: 588.3294 points.
FreakyPlayer: 586.8011 points.
NastyPlayer: 563.2562 points.
RandomPlayer: 551.51324 points.
ReverseT4TPlayer: 513.3224 points.

Tournament 21
CombinedPlayer: 759.1339 points.
TolerantPlayer: 758.6192 points.
GradualPlayer: 753.2544 points.
GrimTriggerPlayer: 752.86444 points.
T4TPlayer: 747.9882 points.
SinghAishwaryaPlayer: 744.6221 points.
FirmButFairPlayer: 743.4668 points.
ImprovedPlayer: 738.5237 points.
TitForTatPlayer2: 728.5733 points.
SoftGrudgerPlayer: 682.3783 points.
NicePlayer: 652.71106 points.
FreakyPlayer: 644.25977 points.
HardMajorityPlayer: 568.3171 points.
NastyPlayer: 568.0146 points.
RandomPlayer: 535.31494 points.
ReverseT4TPlayer: 493.53268 points.

Tournament 22
GrimTriggerPlayer: 765.0709 points.
CombinedPlayer: 757.2839 points.
GradualPlayer: 749.8575 points.
SinghAishwaryaPlayer: 748.0876 points.
FirmButFairPlayer: 746.9099 points.
TolerantPlayer: 745.83295 points.
T4TPlayer: 726.97217 points.
ImprovedPlayer: 718.10547 points.
TitForTatPlayer2: 716.4696 points.
NicePlayer: 679.08984 points.
SoftGrudgerPlayer: 664.506 points.
FreakyPlayer: 597.0733 points.
HardMajorityPlayer: 571.9387 points.
