Tournament 1
HardMajorityPlayer: 616.40173 points.
NastyPlayer: 615.2528 points.
RandomPlayer: 587.55853 points.
ReverseT4TPlayer: 508.86853 points.

Tournament 11
BestPlayer: 858.24603 points.
TolerantPlayer: 854.65515 points.
GrimTriggerPlayer: 854.02356 points.
FirmButFairPlayer: 850.5508 points.
CombinedPlayer: 845.90643 points.
SinghAishwaryaPlayer: 844.2007 points.
TitForTatPlayer2: 828.66656 points.
GradualPlayer: 826.19244 points.
T4TPlayer: 816.75665 points.
ImprovedPlayer: 805.98627 points.
NicePlayer: 759.3489 points.
SoftGrudgerPlayer: 752.7658 points.
FreakyPlayer: 706.1574 points.
HardMajorityPlayer: 627.5453 points.
NastyPlayer: 617.7025 points.
RandomPlayer: 572.8748 points.
ReverseT4TPlayer: 528.2237 points.

Tournament 12
BestPlayer: 858.83356 points.
TolerantPlayer: 856.6595 points.
GradualPlayer: 853.6302 points.
T4TPlayer: 846.2015 points.
GrimTriggerPlayer: 842.8626 points.
FirmButFairPlayer: 842.6717 points.
CombinedPlayer: 838.4901 points.
SinghAishwaryaPlayer: 837.79913 points.
ImprovedPlayer: 814.6541 points.
TitForTatPlayer2: 814.5314 points.
SoftGrudgerPlayer: 773.1584 points.
NicePlayer: 754.9055 points.
FreakyPlayer: 678.47253 points.
HardMajorityPlayer: 633.88257 points.
NastyPlayer: 624.649 points.
RandomPlayer: 578.222 points.
ReverseT4TPlayer: 515.983 points.

Tournament 13
BestPlayer: 864.2831 points.
CombinedPlayer: 852.51184 points.
FirmButFairPlayer: 850.06195 points.
SinghAishwaryaPlayer: 847.5799 points.
GrimTriggerPlayer: 842.9644 points.
TolerantPlayer: 842.1825 points.
GradualPlayer: 841.81555 points.
T4TPlayer: 839.547 points.
ImprovedPlayer: 824.5004 points.
TitForTatPlayer2: 821.87756 points.
SoftGrudgerPlayer: 757.4294 points.
NicePlayer: 753.85443 points.
FreakyPlayer: 693.91144 points.
HardMajorityPlayer: 618.29803 points.
NastyPlayer: 609.3685 points.
RandomPlayer: 595.513 points.
ReverseT4TPlayer: 511.16107 points.

Tournament 14
TolerantPlayer: 852.0012 points.
GrimTriggerPlayer: 845.8964 points.
BestPlayer: 843.9645 points.
GradualPlayer: 840.7744 points.
FirmButFairPlayer: 840.6439 points.
SinghAishwaryaPlayer: 837.24835 points.
T4TPlayer: 832.4347 points.
CombinedPlayer: 831.8961 points.
ImprovedPlayer: 827.9148 points.
TitForTatPlayer2: 806.0265 points.
NicePlayer: 770.56067 points.
SoftGrudgerPlayer: 748.72943 points.
FreakyPlayer: 669.61035 points.
HardMajorityPlayer: 626.4909 points.
NastyPlayer: 616.1525 points.
RandomPlayer: 602.0004 points.
ReverseT4TPlayer: 528.4749 points.

Tournament 15
BestPlayer: 858.5986 points.
GrimTriggerPlayer: 851.0366 points.
CombinedPlayer: 850.4958 points.
GradualPlayer: 849.5978 points.
TolerantPlayer: 846.8309 points.
SinghAishwaryaPlayer: 846.71295 points.
FirmButFairPlayer: 846.4595 points.
T4TPlayer: 825.9876 points.
ImprovedPlayer: 824.67017 points.
TitForTatPlayer2: 821.15674 points.
NicePlayer: 744.05566 points.
SoftGrudgerPlayer: 738.41943 points.
FreakyPlayer: 722.3234 points.
NastyPlayer: 610.75494 points.
HardMajorityPlayer: 610.5862 points.
RandomPlayer: 566.5979 points.
