00.000,25.483,50.150,66.652
00.000,22.314,48.529,65.045
00.000,02.781,46.963,63.601
00.000,01.182,45.558,62.206
00.000,01.010,44.319,60.965
00.000,-01.08,42.947,59.590
00.000,00.000,00.000,00.000
00.000,03.685,45.898,62.535
00.000,00.772,44.615,62.238
00.000,00.659,44.352,61.105
00.000,00.000,00.000,00.000
00.000,-01.32,41.741,58.381
00.000,23.125,44.825,61.689
00.000,20.285,43.882,61.196
00.000,01.046,41.918,59.946
00.000,00.555,39.124,59.885
00.000,00.000,00.000,00.000
00.000,-01.32,28.578,57.187
00.000,19.234,43.665,60.518
00.000,20.249,43.827,61.048
00.000,16.513,42.538,59.826
00.000,12.418,39.902,57.763
00.000,00.000,00.000,00.000
00.000,00.965,29.644,53.643
00.000,13.220,42.500,59.297
00.000,00.000,00.000,00.000
00.000,07.337,42.207,59.750
00.000,05.642,38.386,58.448
00.000,04.690,31.430,56.169
00.000,04.210,30.723,54.793
00.000,12.549,43.512,59.947
00.000,01.846,41.142,57.533
00.000,04.024,34.145,58.425
00.000,08.921,34.263,58.392
00.000,06.116,32.954,57.085
00.000,05.653,31.725,55.785
